Title,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Twinkling Watermelon (2023),"In 2023, Eun Gyeol is a CODA (Child of Deaf Adults) high-school student with hearing-impaired parents, but he has a passion for music. During the day, he is a studious model pupil, but at night, he rocks out as a guitarist in a band. But when he stumbles across a strange yet alluring music store, he goes hurtling back in time to 1995. 

Here, he comes face to face with his father, Ha Yi Chan – as a high schooler! Yi Chan takes Eun Gyeol for a lunatic when the latter calls him “dad”. Worse still, it looks like Yi Chan has a crush on an icy cellist named Se Kyeong – not his future mother, Cheong Ah! 

In a bid to put things “right,” Eun Gyeol joins a band fronted by his future father. But will this be enough to help Eun Gyeol bring his future parents together... and will he ever get back to the 2020s?

",Son Jung Hyun,"Ryeoun, Role: Ha Eun Gyeol
Choi Hyun Wook, Role: Ha Yi Chan
Seol In Ah, Role: Choi Se Kyeong | On Eun Yu
Shin Eun Soo, Role: Yoon Cheong Ah
Kim Joo Ryoung, Role: Lim Ji Mi [Cheong Ah's stepmother]
Bong Jae Hyun, Role: Ha Eun Ho [Eun Gyeol’s brother]","Romance
 Youth
 Drama
 Fantasy",9.2,22039,https://mydramalist.com//739603-sparkling-watermelon
When I Fly Towards You (2023),"In the early autumn of 2012, Yucai Middle School welcomes a cheerful transfer student named Su Zai Zai. On the first day of school, Su Zai Zai encounters the aloof and cool Zhang Lu Rang and falls in love with him at first sight. 

Behind Zhang Lu Rang's seemingly outstanding academic performance and privileged family background, he is a ""contradictory"" person who appears to be quite confident on the outside yet constantly doubts himself on the inside. Due to the presence of his genius younger brother, Zhang Lu Li, Zhang Lu Rang is constantly compared to him by his mother. For over a decade, Zhang Lu Rang's life has been like living inside a thick shell. He is introverted and speaks little. He looks composed and polite but keeps everyone at a distance.

However, Zhang Lu Rang's life changes when he meets the bubbly and forward Su Zai Zai, and joins hands with old and new friends Gu ran,  Guan Fang, and Su Zai Zai's best friend Jiang Jia. They help him understand the meaning of self and he slowly begins to understand how to plan his life. Zhang Lu Rang and Su Zai Zai work towards their goals while supporting one another, as romance begins to blossom throughout their friend group. 

",Yue An,"Zhou Yi Ran, Role: Zhang Lu Rang
Zhang Miao Yi, Role: Su Zai Zai
Bian Tian Yang, Role: Gu Ran
Jiang Zhi Nan, Role: Jiang Jia
Guo Zhe, Role: Guan Fang
Roy Xie, Role: Xie Lin Nan","Comedy
 Romance
 Youth",9.0,16580,https://mydramalist.com//62295-luo-yao-knew-what-he-meant
Move to Heaven (2021),"Han Geu Roo is an autistic 20-year-old. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family.

When Geu Roo's father dies, Geu Roo's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will, Sang Gu must care for and work with Geu Roo in “Move To Heaven” for three months to gain full guardianship and claim the inheritance. Eying money, Sang Gu agrees to the conditions and moves in.

",Kim Sung Ho,"Lee Je Hoon, Role: Cho Sang Gu
Tang Jun Sang, Role: Han Geu Roo
Hong Seung Hee, Role: Yoon Na Mu
Jung Suk Yong, Role: Yoon Young Soo [Yoon Na Mu's father]
Jung Young Joo, Role: Oh Mi Ran [Yoon Na Mu's mother]
Lee Moon Shik, Role: Park Joo Taek","Life
 Drama",9.1,41399,https://mydramalist.com//49231-move-to-heaven
Hospital Playlist Season 2 (2021),"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.

",Shin Won Ho,"Jo Jung Suk, Role: Lee Ik Jun
Yoo Yeon Seok, Role: Ahn Jung Won
Jung Kyung Ho, Role: Kim Jun Wan
Kim Dae Myung, Role: Yang Suk Hyung
Jeon Mi Do, Role: Chae Song Hwa
Shin Hyun Been, Role: Jang Gyeo Wool","Romance
 Life
 Drama
 Medical",9.1,27336,https://mydramalist.com//57173-hospital-playlist-2
The Untamed (2019),"Wei Wu Xian and Lan Wang Ji, two talented disciples of respected clans, meet during cultivation training and accidentally discover a secret carefully hidden for many years. Taking on the legacy of their ancestors, they decide to rid the world of the ominous threat. But in a dramatic turn of events, Wei Wu Xian dies.

Sixteen years later, Wei Wu Xian is brought back to life through a self-sacrificing ritual. He conceals himself behind a mask and assumes the identity of his summoner. Soon, Wei Wu Xian reunites with Lan Wang Ji and they start working together to solve the mysteries of the present and unravel the truth behind the events in the past.

",Steve Cheng,"Xiao Zhan, Role: Wei Wu Xian / Wei Ying
Wang Yi Bo, Role: Lan Wang Ji / Lan Zhan
Wang Zhuo Cheng, Role: Jiang Cheng
Xuan Lu, Role: Jiang Yan Li 
Liu Hai Kuan, Role: Lan Xi Chen / Zewu Jun
Zhu Zan Jin, Role: Jin Guang Yao / Meng Yao","Mystery
 Wuxia
 Fantasy",9.0,46726,https://mydramalist.com//28723-the-untamed
Mysterious Lotus Casebook (2023),"Ten years ago, Li Xiang Yi, the master of the Sigu Sect, dominated with his superior swordsmanship and was a symbol of light in the martial arts world. However, he suddenly disappeared along with Di Fei Sheng, the leader of the Jinyuan Alliance, after they arranged to battle in the East Sea.

Ten years later, Li Lian Hua is a countryside doctor who travels dragging around a lotus tower. He accidentally becomes ""famous"" and gets pulled into the pugilistic world that he no longer wants to have any connections with. Fang Duo Bing, a passionate youth who dreams of becoming a hero, realizes that Li Lian Hua is not a simple man and vows to find proof that Li Lian Hua has been impersonating a famous doctor. Meanwhile, Di Fei Sheng, who has always regarded Li Xiang Yi as a fierce enemy, has also reemerged in the pugilistic world and recognizes that the unremarkable doctor Li Lian Hua is none other than Li Xiang Yi. 

After a series of cases, Li Lian Hua, Di Fei Sheng and Fang Duo Bing gradually come to forge a deep friendship and join hands in solving mysterious cases to uphold justice.

",Liu Fang,"Cheng Yi, Role: Li Lian Hua / Li Xiang Yi
Joseph Zeng, Role: Fang Duo Bing
Xiao Shun Yao, Role: Di Fei Sheng
Chen Du Ling, Role: Qiao Wan Mian [Sigu sect]
Estelle Chen, Role: Su Xiao Yong
Rain Wang, Role: Jiao Li Qiao","Mystery
 Wuxia",9.0,4534,https://mydramalist.com//713331-the-lotus-casebook
Weak Hero Class 1 (2022),"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school. 

",You Su Min,"Park Ji Hoon, Role: Yeon Shi Eun / Gray Yeon
Choi Hyun Wook, Role: Ahn Soo Ho / Stephen Ahn
Hong Kyung, Role: Oh Beom Seok / Bryce Oh
Kim Su Gyeom, Role: Jeon Young Bin / Oswald Yang
Lee Yeon, Role: Young Yi
Shin Seung Ho, Role: Jeon Seok Dae","Action
 Youth
 Drama",9.1,31846,https://mydramalist.com//702267-weak-hero
Moving (2023),"Kim Bong Seok, Jang Hee Soo, and Lee Gang Hoon, seemingly typical high school students, bear extraordinary inherited powers. Bong Seok can fly, Hee Soo possesses exceptional athleticism and rapid injury recovery, and Gang Hoon wields uncanny strength and speed. As they conceal their gifts, their parents fight to shield them from exploitation by others, navigating a delicate balance between secrecy and protection.

",Kang Full,"Ryu Seung Ryong, Role: Jang Joo Won
Han Hyo Joo, Role: Lee Mi Hyun
Zo In Sung, Role: Kim Doo Shik
Cha Tae Hyun, Role: Jeon Gye Do
Ryu Seung Beom, Role: Frank
Kim Sung Kyun, Role: Lee Jae Man","Action
 Thriller
 Mystery
 Supernatural",9.1,19801,https://mydramalist.com//25560-moving
1 Litre no Namida (2005),"15-year-old Ikeuchi Aya is an ordinary girl, the daughter of a family who works at a tofu shop, and a soon-to-be high schooler. However, odd things have been happening to Aya lately. She has been falling down often and walks strange. Her mother, Shioka, takes Aya to see the doctor, and he informs Shioka that Aya has spinocerebellar degeneration - a terrible disease where the cerebellum of the brain gradually deteriorates to the point where the victim cannot walk, speak, write, or eat.

",Murakami Shosuke,"Sawajiri Erika, Role: Ikeuchi Aya
Nishikido Ryo, Role: Aso Haruto
Yakushimaru Hiroko, Role: Ikeuchi Shioka 
Jinnai Takanori, Role: Ikeuchi Mizuo [Aya's father]
Narumi Riko, Role: Ikeuchi Ako [Aya's sister]
Sanada Yuma, Role: Ikeuchi Hiroki [Aya's brother]","Romance
 Drama
 Melodrama",9.0,18622,https://mydramalist.com//2-1-litre-no-namida
Flower of Evil (2020),"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung’s behavior and begins to wonder if he could possibly be hiding something from her. 

",Kim Chul Gyu,"Lee Joon Gi, Role: Baek Hee Sung / Do Hyun Soo
Moon Chae Won, Role: Cha Ji Won
Jang Hee Jin, Role: Do Hae Soo
Seo Hyun Woo, Role: Kim Moo Jin
Nam Ki Ae, Role: Gong Mi Ja [Hee Sung's mother]
Son Jong Hak, Role: Baek Man Woo [Hee Sung's father]","Thriller
 Romance
 Crime
 Melodrama",9.1,55726,https://mydramalist.com//54625-flower-of-evil
