Title,Year,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Bad Romance (2016),2016,Thailand,"Yihwa, a single university girl, believes that she doesn’t need boys in her life and that she can survive without them. She thinks that boys are like iPhones, only there for decoration. However, when Yihwa goes to the condo of her best friend Korn and his partner Knock, she meets Cho. Cho falls in love with Yihwa at first sight, but Yihwa does not feel the same way. Instead, Yihwa thinks that Cho is gay and wants a relationship with Knock. After meeting Yihwa, Cho starts to pursue her. Will Cho be able to get close to Yihwa and will she reciprocate his feelings? 

",Dome Jade Bunyoprakarn,"Tomo Visava Thaiyanont, Role: ""Cho"" Sunnawi Padenphataisan
Maengmum Tanshi Bumrungkit, Role: ""Yiwha"" Wanyiwha Pakantapathawi
Tul Pakorn Thanasrivanitchai, Role: Knock
Max Nattapol Diloknawarit, Role: ""Korn"" Kannapat Pithachaichan
Patty Petei Hokari, Role: Being 
Earth Theekapat Chanwittayapong, Role: Martin","Comedy
 Romance
 Drama",7.0,7387,https://mydramalist.com/19644-bad-romance-the-series
Views of Love: Grey Rainbow (2016),2016,Thailand,"Grey Rainbow tells the love of Nuer and Porsche. Nuer is the son of the owner of an elephant camp while Porsche is a law student. In university, they were dormitory roommates and close friends, each fighting against the feelings that one has for the other. ",Boonyawat Thongtong,"Karn Kasidej Hongladaromp, Role: Porsche
Nut Nutchapon Rattanamongkol, Role: Nueng
Folk Thitiphat Chankaew, Role: Tae
Natee Orapim Wongyai, Role: Jane
Achi Achirapol Jinapanyo, Role: Kangkhen (Ep. 3)","Romance
 Drama",7.6,4726,https://mydramalist.com/18451-grey-rainbow
About Youth (2022),2022,Taiwan,"Ye Guang is an elite, popular high school student with good grades. Xu Qi Zhang, on the other hand, tends to blend into the background except for when he's performing on stage with his band.

Smitten by the kindness that Ye Guang showed him on one of the saddest nights of his life, Xu Qi Zhang is more than happy to repay that kindness when Ye Guang starts having a hard time with his parents. But will this newfound friendship develop into something more?

Ray, Ye Guang's best friend, is not used to being treated well by his previous boyfriend. So, when he meets Ah Jian, will he be able to give him a chance?

A slice of life drama about self-discovery and falling in love. 

",Tsai Mi Chieh,"Shen Jyun, Role: Xu Qi Zhang
Li Zhen Hao, Role: Ye Guang
Hsu Shuo Ting, Role: Fan Rui Hao / Ray
Andy Huang, Role: Ah Jian
Vera Chen, Role: [Ye Guang's mother]
David Chiu, Role: [Ye Guang's father]","Music
 Romance
 Youth",8.0,10751,https://mydramalist.com/716925-i-secretly-fell-in-love-with-the-student-council-president
The Eternal Love (2017),2017,China,"Mo Lian Cheng, the 8th prince of Dongyue, is forced to marry Qu Tan Er, who is already in love with Mo Lian Cheng's elder brother, Mo Yi Huai. Qu Tan Er tries to commit suicide before the wedding can take place. Instead of dying, Qu Tan Er wakes up with the soul of Xiao Tan, a real estate agent from modern times, in her body. Every time one of them falls unconscious or tells a lie incompatible with the feelings they hold in their heart, the soul in control of Qu Tan Er's body switches. 

Although Qu Tan Er's body has the same outer appearance as Xiao Tan's original body, their souls are distinct, and their personalities are very different. While Qu Tan Er is quiet and refined, Xiao Tan is loud, mischievous, and bold.  Qu Tan Er's history with Mo Yi Huai and her different personalities raise Mo Lian Cheng's suspicions, but he soon falls in love with Xiao Tan. Xiao Tan tries every method she can think of to return to her own time, but nothing seems to work. Can Xiao Tan ever get back to the modern world?

~~ Adapted from the novel “Hilarious Pampered Consort: Lord I Will Wait for Your Divorce” (爆笑宠妃：爷我等你休妻) by Fan Que (梵缺). ",Yuen Tak,"Xing Zhao Lin, Role: Mo Lian Cheng [8th Prince]
Liang Jie, Role: Qu Tan Er / Qu Xiao Tan / Qu Xiang Tan
Wang Rui Chang, Role: Mo Yi Huai / Mo Yi Feng
Amy Sun, Role: Jing Xin
Xin Rui Qi, Role: Zhao Qing Yun
Zhong Qi, Role: Qu Pan Er","Historical
 Comedy
 Romance
 Fantasy",8.1,11346,https://mydramalist.com/24275-the-eternal-love
Lighter & Princess (2022),2022,China,"Li Xun is a cold, calculating computer programming ace who entered college as the top scorer of the national college entrance exams, earning him the admiration of all his classmates. However, he is not interested in participating in your regular college activities with his fellow classmates and has his own plans for his future. This mindset brings him into conflict with many of his batch mates as he often refuses to cooperate with them. 

Zhu Yun, meanwhile, is a friendly and innocent young lady who has just begun her college life after doing everything her parents and society expected of her to the best of her ability. When she meets Li Xun, she feels conflicted. She worries that he is a disruptive influence and a possible troublemaker, but still feels somehow drawn to him. Although they seem to butt heads at first, they start to begin cherishing their time together. But when a life-altering incident threatens to separate them – just as romance was starting to brew – their affection is about to undergo the ultimate test!

",Liu Jun Jie,"Chen Fei Yu, Role: Li Xun
Zhang Jing Yi, Role: Zhu Yun
Zhao Zhi Wei, Role: Gao Jian Hong
Jenny Zeng, Role: Ren Di
Cui Yu Xin, Role: Fang Zhi Jing
Qian Di Di, Role: Xu Li Na","Business
 Romance
 Youth
 Drama",8.7,12077,https://mydramalist.com/68429-the-lighter-and-the-princess-gown
Love Is Sweet (2020),2020,China,"Jiang Jun is a girl who is allergic to tears and has a double degree in economics and psychology. She is unrestrained and idealistic due to her family's superior background. After graduation, she worked in a philanthropy organization where she pursues her dreams. However, her father's sudden accident leaves her in a dilemma. Eventually, she decides to work in a top investment company to fulfill her father's dying wish.

In MH, Jiang Jun meets her childhood playmate, Yuan Shuai. However, the current Yuan Shuai is no longer her gentle protector, but her rival. In MH, where the ""culture of wolf instinct"" is rampant, someone is plotting against Jiang Jun while someone sees her as an eyesore. However with her kind nature and attention to detail, along with her high EQ and sense of judgment, Jiang Jun eventually attains success in both her career and love life.

",Wang Wen Tong,"Luo Yun Xi, Role: Yuan Shuai 
Bai Lu, Role: Jiang Jun 
Gao Han Yu, Role: Du Lei
Xiao Yan, Role: Xu Li
Riley Wang, Role: Li Xiao Chuan
Zhao Yuan Yuan, Role: Qiao Na [VP of MH / Jiang Jun's supervisor]","Business
 Comedy
 Romance",8.5,18914,https://mydramalist.com/49871-love-is-sweet
Love Mechanics (2022),2022,Thailand,"When a junior woos Vee's friend, Bar, swearing to love only one in life, Bar has to cut ties with Mark. But God plays a joke on them and something happened between Vee and Mark. Mark chooses to tuck away and draws an end to it. However, Vee doesn't want an end with Mark. Mark himself loves Vee although he knows Vee has a beloved girlfriend. Will the love between them make it? When will the awkwardness break out? What will Vee do?

",Lit Phadung Samajarn,"Yin Anan Wong, Role: Vee
War Wanarat Ratsameerat, Role: Mark
Perth Veerinsara Tangkitsuvanich, Role: Ploy
Prom Ratchapat Worrasarn, Role: Nuea
Got Kanidsorn Laiwrakoran, Role: Bar
Jeff Nathadej Pititranun, Role: ""Kan"" Thotsakan","Romance
 Youth
 Drama",8.1,14955,https://mydramalist.com/75821-love-mechanics
More Than Friends (2020),2020,South Korea,"Ten years ago, Kyung Woo Yeon was as innocent and carefree as any eighteen year old might be. With dreams, ambitions, and a heart ready to love, it was only a matter of time before she fell for someone. And fall she did; for her friend, Lee Soo. Unable to hold her feelings in her heart, she confesses to him before he leaves and gets friend-zoned. 

Seven years later, she tries her luck again only to be rejected again. She is determined to get over what she considers this curse of not being able to experience love. One lonely day in Jeju, she declares confidently that she no longer likes him and decided to leave him. He too leaves Korea having a heavy pang in his heart.  

She had tried every trick to get over this curse that she had, having almost 12 ex-boyfriends. Till one day, when she finds a guy, Joon Soo who offers to be her test man and help her determine whether the fault lies in her or the men she has dated. 

Having been traumatized by the divorce of his parents in the past, Lee Soo always stops himself from love and choose to not start something so that it won't end. After 3 years leaving Jeju island and his memory of Woo Yeon, Lee Soo comes back to Korea and find her with another man, but this time he hopes to face his feelings and not let his past overshadow him.

",Jo Seung Hee,"Ong Seong Wu, Role: Lee Soo
Shin Ye Eun, Role: Kyung Woo Yeon
Kim Dong Jun, Role: Ohn Joon Soo
Ahn Eun Jin, Role: Kim Young Hee
Choi Chan Ho, Role: Shin Hyun Jae
Baek Soo Min, Role: Han Jin Joo","Comedy
 Romance
 Life
 Drama",7.3,8053,https://mydramalist.com/57047-number-of-cases-to-go-from-friends-to-lovers
K-POP - The Ultimate Audition (2012),2012,South Korea,"Ji Seung Yeon dreams of becoming a hip-hop legend and unexpected events set her on the path to achieve just that, although there is an added obstacle - she has to dress up as a boy in order to join a male idol group. In the process, she meets Kang Woo Hyun, the leader of the popular idol group, M2, who captivates fans with a killer smile that masks his rude and selfish personality. ",K-Pop,"Go Eun Ah, Role: Ji Seung Yun
Park Yoo Hwan, Role: Kang Woo Hyeon
Lee Shi Kang, Role: Kwon Ji Woo
Kim Young Ok, Role: [Ji Woo's grandmother]
Park  Hyo Joo, Role: Team Leader Han
Hong Kyung Min, Role: Jang Hyun Seok","Music
 Comedy
 Romance",7.0,10311,https://mydramalist.com/3929-k-pop-the-ultimate-audition
My Sweet Dear (2021),2021,South Korea,"Yoon Do Gun is a highly talented chef and is the culinary creative genius behind Laura Dining, a top, critically acclaimed restaurant. But although Yoon Do Gun’s hard work has won Laura Dining to the top of the South Korean restaurant scene, the eponymous restaurant owner and Yoon Do Gun are beginning to pull in very different directions. While she wants to ensure that the menu is always packed with crowd-pleasing dishes, Yoon Do Gun wants to challenge diners with creative and newer preparations.

The falling-out intensifies when the owner hires Choi Jung Woo to work in the same kitchen. The latter is a talented chef in his own right, but his real skills are in copying other people’s hit recipes, rather than developing his own. Although the two chefs begin on the wrong foot, adopting an adversarial stance to one another, after getting to know one another, the beginnings of an unlikely love story start to form. Could rivalry turn to romance as the heat intensifies in the kitchen?

",So Joon Moon,"Jang Eui Soo, Role: Choi Jung Woo
Lee Chan Hyung, Role: Yoon Do Gun
Jang Do Yoon, Role: Ye Jun
Jo Seo Hu, Role: Laura Kim
Oh Seung Jun, Role: Ko Jae Hoon","Food
 Romance
 Youth
 Drama",7.1,10634,https://mydramalist.com/709451-my-sweet-dear
Hotel del Luna (2019),2019,South Korea,"Nestled deep in the heart of Seoul’s thriving downtown sits a curious hotel, the like of which no one has ever seen before. Old beyond measure, the building has stood for millennia, an ever-present testament to the fact that things are not always what they seem. Running this hotel is Jang Man Wol, a greedy, suspicious soul who has spent the past thousand years acting as the establishment’s CEO.

Bound to the hotel by a deity who keeps her there to save her from going berserk and self-destructing with rage, hatred and thirst for revenge. Her only hope of escape is if she can let go of her resentment and hatred and find love. Trapped in her resentment for a betrayal, Man Wol is doomed to spend all of eternity running this odd establishment, catering to the needs of the most peculiar clientele. 

Things take an interesting turn when Goo Chan Sung shows up. Once the youngest assistant manager ever to work at a multinational hotel corporation, Chan Sung finds himself forced to manage the Hotel del Luna because of a deal his father made with Man Wol years ago. Excellent with managing money, he starts to put Jang's excessive spending and disastrous financial situation in order; that may be exactly what this odd establishment and its cursed CEO needs.

",Hong Jung Eun,"IU, Role: Jang Man Wol
Yeo Jin Goo, Role: Goo Chan Sung
Shin Jung Keun, Role: Kim Sun Bi
Bae Hae Seon, Role: Choi Seo Hee
P.O, Role: Ji Hyun Joong
Jo Hyun Chul, Role: Sanchez","Horror
 Comedy
 Romance
 Fantasy",8.6,76165,https://mydramalist.com/32925-hotel-del-luna
Second Chance (2021),2021,Thailand,"Life is filled with trials and tribulations that change us profoundly. Tongfah, grieving his father's recent loss, leans on his friend Paper for support, and their bond evolves into something deeper. Meanwhile, Jeno, having been burned by love before, withdraws from relationships. Chris, an acquaintance, strives to mend Jeno's heart. These four young men navigate the complexities of love and friendship, learning vital life lessons along the way. But can they find the courage to give love another chance despite past hurt?

",Jungjing Wanna Kortunyavat,"Fluke Chinnathan Rojrawee Thanakun, Role: Sky / Tong Fah
Tong Thanayut Thakoonauttaya, Role: Paper
Mawin Tanawin Duangnate, Role: Chris
Run Kantheephop Sirorattanaphanit, Role: Jeno
Nine Theepop Phanitprasert, Role: M
Games Nanthipat Sirorattanaphanit, Role: Near","Romance
 Life
 Youth",7.3,5787,https://mydramalist.com/680869-second-chance
Move to Heaven (2021),2021,South Korea,"Han Geu Roo is an autistic 20-year-old. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family.

When Geu Roo's father dies, Geu Roo's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will, Sang Gu must care for and work with Geu Roo in “Move To Heaven” for three months to gain full guardianship and claim the inheritance. Eying money, Sang Gu agrees to the conditions and moves in.

",Kim Sung Ho,"Lee Je Hoon, Role: Cho Sang Gu
Tang Jun Sang, Role: Han Geu Roo
Hong Seung Hee, Role: Yoon Na Mu
Jung Suk Yong, Role: Yoon Young Soo [Yoon Na Mu's father]
Jung Young Joo, Role: Oh Mi Ran [Yoon Na Mu's mother]
Lee Moon Shik, Role: Park Joo Taek","Life
 Drama",9.1,42090,https://mydramalist.com/49231-move-to-heaven
Love Rain (2012),2012,South Korea,"Suh In Ha is a sensitive artist who falls in love at first sight with fellow college student, Kim Yoon Hee. The two of them develop feelings for each other, but before they can do anything about it, In Ha's best friend, Lee Dong Wook, professes his love for Yoon Hee. Not wanting to ruin his friendship, In Ha takes a backseat and watches as the girl he loves grows farther away from him. Fast-forward to present day Seoul where In Ha's son, Suh Joon, meets and falls in love with Ha Na, Kim Yoon Hee's daughter. The children are completely different from their parents in personality, but fate pulls them together. ",Oh Soo Yun,"Jang Geun Suk, Role: Seo In Ha [1970s] / Seo Jun [In Ha's son]
Im Yoon Ah, Role: Kim Yoon Hee [1970s] / Jung Ha Na [Yoon Hee's daughter]
Kim Shi Hoo, Role: Lee Dong Wook [1970s] / Sun Ho [Dong Wook's son]
Lee Mi Sook, Role: Kim Yoon Hee [2012]
Kwon In Ha, Role: Lee Dong Wook [2012]
Yoo Hye Ri, Role: Baek Hye Jung [2012]","Romance
 Drama
 Family
 Melodrama",7.6,18651,https://mydramalist.com/3057-love-rain
Moon Embracing the Sun (2012),2012,South Korea,"Thirteen-year-old Heo Yeon Woo, the daughter of a high-ranking official, accompanies her mother to the royal palace to attend her brother, Heo Yeom's civil service examination congratulatory ceremony. By chance, she comes across Crown Prince Lee Hwon. They fall in love and Yeon Woo is chosen as the Crown Princess of Joseon.

Before they can marry, however, the Dowager Queen secretly orders her death, in order to install Yoon Bo Gyeong, the daughter of a family clan, as Crown Princess, thus securing more power for herself. She orders the head shaman to cast a spell on Yeon Woo to strike her with an unknown sickness. After dying, Yeon Woo is resurrected from her grave but loses her memories. All believe her to be dead, including Crown Prince Lee Hwon, who refuses to love another.

Eight years later, Yeon Woo returns as a shaman named Wol (meaning moon). Meanwhile, the young king begins to investigate the death of his love after seeing the grown-up Wol. But he is fighting against time because the queen's powerful political clan wants him removed from power.

~~ Adapted from the novel by Jung Eun Gwol. ",Lee Sung Joon,"Han Ga In, Role: Heo Yeon Woo / Wol
Kim Soo Hyun, Role: Lee Hwon
Jung Il Woo, Role: Yang Myung
Kim Min Seo, Role: Yoon Bo Kyung
Kim You Jung, Role: Heo Yun Woo [Young]
Yeo Jin Goo, Role: Lee Hwon [Young]","Historical
 Romance
 Supernatural
 Political",8.4,26052,https://mydramalist.com/3079-the-moon-that-embraces-the-sun
Oh! My Emperor (2018),2018,China,"Luo Fei Fei, a 21st-century doctor, was unexpectedly transported to the mysterious ancient nation of Huang Dao, the kingdom of the Zodiac. By chance, it happened to be the monarch rotation system among the twelve constellations that occurs every thousand years within that nation to prevent disagreement among the other stars. The current emperor, Bei Tang Yi, the lord of the Capricorn constellation, is in line to ascend the throne. In the Beitang family, there is Bei Tang Tang, the lord of the Pisces constellation, and Bei Tang Mo Ran, the lord of the Aquarius constellation, who are both naturally in the spotlight, too.  

With the arrival of Luo Fei Fei, the original peaceful appearance was completely shattered. This twist in fate made Luo Fei Fei the most miserable and unlucky time-travel heroine in history, and she became the big boss of a group of feeble villains. The spirited Luo Fei Fei's interaction with the twelve-star masters, each possessing different personalities, was full of jokes, and she forged a joyful friendship with the emperor Bei Tang Yi, going from being enemies to friends. 

Despite her circumstances, having no idea how she came to Huang Dao or how to go back, Luo Fei Fei was born with a playful nature, fearless, and unfazed by challenges. She has a bold ambition: ""This emperor, I want him."" 

",Li Han,"Zhao Lu Si, Role: Luo Fei Fei / Ophiuchus
Jason Gu, Role: Bei Tang Yi [Capricorn] | Jia Cheng
Xiao Zhan, Role: Bei Tang Mo Ran [Aquarius]
Wu Jia Cheng, Role: Bei Tang Tang [Pisces]
Peng Chu Yue, Role: Bai Wu Chen [Virgo]
Emn Chen, Role: Su Xun Xian [Gemini]","Historical
 Comedy
 Romance
 Fantasy",7.8,7130,https://mydramalist.com/26812-oh-my-emperor
The Miracle of Teddy Bear (2022),2022,Thailand,"Taohu is a giant white teddy bear and has been Nut's object of comfort for ten years. However, he isn’t an ordinary teddy bear, he has the ability to communicate with other objects and items in the house. One day, unbeknownst to Nut, the teddy bear was miraculously turned into a young man, however, that young man can't remember anything about himself. Taohu tried to find his own background, but everything became complicated when he found out that his background was connected to the dark secrets of his owner's family. He had to hurry because his time as a human is running out and he wanted to discover the secrets of his background so much, but he also wanted to be closer to the person he loved the most. Will Taohu be able to find the answers to his questions and reveal all the secrets he wishes to know? And would there be another miracle that may allow him to fulfill his wish?

",Paajaew Yuthana Lorphanpaibul,"Inn Sarin Ronnakiat, Role: Taohu | ""Nueng"" Anon Thanakul / Prince Noi
Job Thuchapon Koowongbundit, Role: ""Nut"" Pheeranat
Tee Thanapon Jarujitranon, Role: Song
First Parada Chutchavalchotikul, Role: Kensit
Um Apasiri Nitibhon, Role: Mathana [Nut's mother]
Joy Rinlanee Sripen, Role: Satjaree","Mystery
 Romance
 Drama
 Fantasy",7.9,4650,https://mydramalist.com/59035-khun-mee-pa-ti-harn
Love in the Air (2022),2022,Thailand,"When clouds in the sky and falling rain tease the two close friends in trouble, Rain and Sky, it takes them to meet Payu and Prapai, who are not only cunning saviours but also guys making storms in the two best friends' hearts. The war of love is about to take place in the warm spring, hot summer, lonely autumn and cold winter. 

How would the atmosphere of love be? Which way would their hearts wave and the air full of love take them to? 

",Ne Neti Suwanjinda,"Boss Chaikamon Sermsongwittaya, Role: Payu
Noeul Nuttarat Tangwai, Role: Rain
Fort Thitipong Sangngey, Role: Prapai
Peat Wasuthorn Chaijindar, Role: Sky
Tonnam Piamchon Damrongsunthornchai, Role: Sig [Rain’s classmate]
Nut Nattapong Prompinit, Role: Por [Rain’s classmate]","Comedy
 Romance
 Life
 Drama",8.1,28187,https://mydramalist.com/56933-love-storm
Fukou-kun wa Kiss Suru Shikanai! (2022),2022,Japan,"Fukuhara Kota is a university student who has unnaturally bad luck that plagues him everywhere he goes. Embarrassment at his continual comical misfortunes inhibits him from making friends. 

One day he is rescued from a near-accident by Shinomiya Naoya, a good-looking fellow student with the opposite problem – supernatural good luck that brings him many friends. Shinomiya is intrigued by the unlucky Fukuhara, who asks Shinomiya to be his friend, thinking that this must surely shield him from further bad luck. He phrases his request badly but Shinomiya, thinking he is suggesting they begin dating, surprisingly agrees.

",Yoshino Mamoru,"Sota Ryosuke, Role: Fukuhara Kota
Sato Yusuke, Role: Shinomiya Naoya
Nakayama Satsuki, Role: Sasaki Mugi
Oshida Gaku, Role: Tsujimura Saku
Hata Mei, Role: Miki
Hanamura Asuka, Role: Anna","Comedy
 Romance
 Life
 Youth",7.7,15512,https://mydramalist.com/722729-fukou-kun-wa-kiss-suru-shikanai
Miss the Dragon (2021),2021,China,"This is a tale of love and promises that spans three lifetimes. Liu Ying, a maidservant, unknowingly saves a thousand-year-old dragon named Yuchi Longyan. In gratitude, Yuchi Longyan offers to marry her, but a misunderstanding ensues. Later, when Xia Hou Xue encounters danger, Yuchi Longyan pledges to protect her for three lifetimes to honor Liu Ying's wishes. Though he silently stands by Liu Ying in her reincarnations, it takes until her fourth life as Gu Qing Yan for her to discover his presence.

",Min Guo Hui,"Dylan Wang, Role: Yuchi Longyan
Zhu Xu Dan, Role: Liu Ying / Yuan A'yu / Feng Chenyue / Gu Qingyan
Deng Wei, Role: Tian Gu Xing / Xue Qian Xun [Lord of Luofeng Pavillion]
Pan Mei Ye, Role: Xiao Qing / Qing Qing / Blue Bird / Bird Elf
Zhan Yu, Role: Xu Zhi Yuan
Zhu Zan Jin, Role: Mingge Xingjun [Immortal of Fate]","Romance
 Wuxia
 Fantasy",7.7,5550,https://mydramalist.com/53591-yu-long
