Title,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Midnight Runners (2017),South Korea,"When two police academy cadets witness a kidnapping on their way home from the club, they’ll have to use all their—very recent—training to take down a powerful underground trafficking ring. 

",Jason Kim,"Park Seo Joon, Role: Park Ki Joon
Kang Ha Neul, Role: Kang Hee Yeol
Sung Dong Il, Role: Professor Yang
Park Ha Sun, Role: Joo Hee
Lee Ho Jung, Role: Lee Yoon Jung
Go Jun, Role: Young choon","Action
 Mystery
 Comedy
 Crime",8.7,25229,https://mydramalist.com//20890-midnight-runners
20th Century Girl (2022),South Korea,"In 1999, a teen with a heart of gold begins keeping close tabs on a popular classmate as a favor to her smitten best friend.

Bo Ra is 17-year-old high school student. She is good at taekwondo and has a bright and positive personality. She is also a member of the broadcasting club at her school. Woon Ho is a member of the same broadcasting club.

Bo Ra is best friends with Yeon Du, who attends the same school. Yeon Du has a crush on Hyun Jin. She asks Bo Ra to find out everything about Hyun Jin and goes to the U.S. to have heart surgery. After that, Bo Ra begins to observe Hyun Jin closely...

",Romance,"Kim Yoo Jung, Role: Na Bo Ra
Byeon Woo Seok, Role: Poong Woon Ho
Park Jung Woo, Role: Baek Hyun Jin
Roh Yoon Seo, Role: Kim Yeon Doo
Kim Sung Kyung, Role: [Na Bo Ra's mother]
Jung Suk Yong, Role: [Na Bo Ra's father]","Romance
 Youth
 Melodrama",8.6,27681,https://mydramalist.com//699543-the-twentieth-century-girl
Love and Leashes (2022),South Korea,"A cheerful and provocative romance between an unlikely pair with differing personalities and tastes. 

Jung Ji Hoo is a competent and popular high-flying employee at work but one day this image threatens to fall apart when a fellow co-worker, Jung Ji Woo, mistakenly receives a package belonging to him and opens it to find a large dog-collar and its accompanying leash inside. What follows is a light-hearted introduction to a BDSM relationship between the two. 

",Comedy,"Seo Hyun, Role: Jung Ji Woo
Lee Jun Young, Role: Jung Ji Hoo
Lee El, Role: Hye Mi
Seo Hyun Woo, Role: Team Leader Hwang
Kim Han Na, Role: Kim Yoon Ah [Ji Woo's co-worker]
Ahn Seung Gyun, Role: Lee Han [Intern]","Comedy
 Romance
 Life
 Drama",7.9,24975,https://mydramalist.com//690053-moral-sense
The Handmaiden (2016),South Korea,"During 1930s Korea, in the period of Japanese occupation, Sook Hee is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sook Hee and Hideko discover some unexpected emotions.

",Jung Seo Kyung,"Kim Min Hee, Role: Lady Hideko
Kim Tae Ri, Role: Nam Sook Hee / Tamako
Ha Jung Woo, Role: Count Fujiwara
Jo Jin Woong, Role: Uncle Kouzuki
Kim Hae Sook, Role: [Mr. Sasaki's wife]
Lee Yong Nyeo, Role: Book Soon","Thriller
 Historical
 Psychological
 Romance",8.2,19193,https://mydramalist.com//11183-the-handmaiden
Parasite (2019),South Korea,"Kim Gi Woo is a young man who lives with his unemployed, poor family of four in a semi-basement. One day, his friend Min Hyuk tells him that he is leaving to study abroad and that he should replace him as the tutor of a rich family. Ki Taek then meets the Parks, a rich family of four who are the owners of a global IT firm. Yun Gyo, the lady of the Park's house, accepts Gi Woo as a tutor for her daughter, and he uses Yun Gyo’s naiveness as a chance to employ his other family members.

",Han Jin Won,"Song Kang Ho, Role: Kim Gi Taek 
Lee Sun Kyun, Role: Park Dong Ik
Cho Yeo Jung, Role: Choi Yun Gyo
Choi  Woo Shik, Role: Kim Gi Woo
Park So Dam, Role: Kim Gi Jung
Jang Hye Jin, Role: Park Chung Sook","Thriller
 Comedy
 Drama",8.9,71924,https://mydramalist.com//23429-parasite
#Alive (2020),South Korea,"Jun Woo wakes up to find that a mysterious virus outbreak has occurred. The outbreak suddenly spread throughout Seoul and rapidly grows out of control, trapping survivors alone inside their apartments without access to cellular data, Wi-Fi, texting, or phone calls. Jun Woo and Yu Bin struggle to survive in an isolated apartment complex from those infected with the virus.

",Thriller,"Yoo Ah In, Role: Oh Joon Woo
Park Shin Hye, Role: Kim Yoo Bin
Jeon Bae Soo, Role: [Masked man]
Lee Hyun Wook, Role: Lee Sang Chul
Oh Hye Won, Role: [Female police officer]
Kim Dan Bi, Role: [Infected person #6]","Thriller
 Mystery
 Drama
 Sci-Fi",7.9,28150,https://mydramalist.com//38787-alone
The Beauty Inside (2015),South Korea,"What would you do if you woke up with a new face every day? Woo Jin, a man who designs furniture for a living, is used to this. An elderly man, a little boy, a chubby woman, a foreigner, Woo Jin has grown accustomed to his supernatural “situation.” The only people that know of his illness are his mother and his best friend, Sang Baek. 

One day, Woo Jin meets Yi Soo, a girl who works for a furniture store and instantly falls in love with her. Since his physical identity changes frequently, he continues to visit her daily, acting as a customer that she has never seen before. Woo Jin finally musters up the courage to talk to her and ask her out on a date. The perfect date passes by and Woo Jin, knowing that his face will change once he falls asleep, attempts to stay awake for as long as he can. He meets Yi Soo for three consecutive days and Yi Soo also falls in love with him. However, Woo Jin can no longer fight sleep. He passes out and wakes up with a new face. Will Woo Jin tell Yi Soo about his condition? What will Yi Soo think? 

",Baek Jong Yeol,"Han Hyo Joo, Role: Yi Soo
Kim Dae Myung, Role: Woo Jin
Lee Hyun Woo, Role: Woo Jin
Hong Da Mi, Role: Woo Jin
Bae Sung Woo, Role: Woo Jin
Yoo Yeon Seok, Role: Woo Jin","Romance
 Drama
 Melodrama
 Supernatural",8.3,22308,https://mydramalist.com//11109-the-beauty-inside
From Me to You (2010),Japan,"Well-meaning but socially awkward, Kuronuma Sawako is nicknamed ""Sadako"" by her high school classmates because of her similar hair style with the main character from the horror movie ""Ring."" She doesn't have friends and goes about her day in quiet. She admires a fellow classmate, Kazehaya Shota, because of his easy-going and friendly nature, but unknown to her, Kazehaya has also been paying attention to her. 

",Kumazawa Naoto,"Tabe Mikako, Role: Kuronuma Sawako
Miura Haruma, Role: Kazehaya Shouta
Renbutsu Misako, Role: Yoshida Chizuru
Natsuna, Role: Yano Ayane
Kiritani Mirei, Role: Kurumizawa Ume
Sasaki Daisuke, Role: Sanada  Ryu","Romance
 Life
 Youth",7.9,19005,https://mydramalist.com//124-from-me-to-you
Miracle in Cell No. 7 (2013),South Korea,"Lee Yong Gu is a mentally impaired father, who lives in a run-down house along with his daughter of the same age, Ye Seung. One day, he gets into a physical altercation with the police commissioner, who has just purchased the last Sailor Moon backpack for his daughter, a gift Yong Gu was saving up to buy for Ye Seung. Soon after, the police commissioner's daughter dies in a freak accident while she is taking Yong Gu to another store that sells the same backpack. When he tries to resuscitate her, a woman witnesses him and mistakes him to be molesting her. Yong Gu is falsely accused of the abduction, murder, and rape of a minor. The police quickly take advantage of his disability and force him to admit to committing the crimes, while ignoring exonerating evidence. Yong Gu is imprisoned and assigned to Cell No. 7, the harshest cell in a maximum security prison.

",Yoo Young Ah,"Ryu Seung Ryong, Role: Lee Yong Gu
Gal So Won, Role: Lee Ye Seung
Oh Dal Soo, Role: So Yang Ho
Park Won Sang, Role: Choi Chun Ho
Kim Jeong Tae, Role: Gang Man Beom
Jung Man Shik, Role: Shin Bong Shik","Comedy
 Drama",9.1,22707,https://mydramalist.com//4517-miracle-in-cell-no.-7
My Annoying Brother (2016),South Korea,"Doo Shik gets paroled from prison thanks to his younger brother Doo Yeong. Doo Yeong is a promising judo athlete. After 15 years, Doo Shik suddenly appears in front of Doo Yeong and they begin to live together. Doo Yeong becomes involved in an accident before the selection for the national team.

",Kwon Soo Kyung,"Jo Jung Suk, Role: Go Doo Shik
Doh Kyung Soo, Role: Go Doo Young
Park Shin Hye, Role: Lee Soo Hyun
Kim Kang Hyun, Role: Dae Chang
Jung Dong Gyu, Role: [Doctor]
Im Chul Hyung, Role: [Man in department store]","Comedy
 Life
 Drama
 Sports",8.7,17553,https://mydramalist.com//15364-my-annoying-brother
